catalog_id,heuristic,k,n_users,mean_rank,ndcg@5,ndcg@10,recall@5,recall@10
syn_V20_ELOW_z0.5_e0.6_m4_s1,pop_price,3,287,10.0801,0.19208,0.25468,0.34495,0.54355
syn_V20_ELOW_z0.5_e0.6_m4_s1,content_knn_1,3,287,10.8049,0.14090,0.21244,0.24739,0.47038
syn_V20_ELOW_z0.5_e0.6_m4_s1,content_knn_3,3,287,10.8118,0.15737,0.22674,0.24739,0.46341
syn_V20_ELOW_z0.5_e0.6_m4_s1,content_knn_5,3,287,10.8153,0.15420,0.22256,0.25784,0.47387
syn_V20_ELOW_z0.5_e0.6_m4_s1,last_item_nbhd,3,287,10.8711,0.14817,0.22999,0.22997,0.48780
syn_V20_ELOW_z0.5_e0.6_m4_s1,pop_scaled_content,3,287,10.2648,0.16978,0.25312,0.26481,0.52265
syn_V20_ELOW_z0.5_e0.6_m4_s1,co_purchase,3,287,10.5889,0.14799,0.22853,0.26132,0.51568
syn_V20_ELOW_z0.5_e0.6_m4_s1,lambda_hybrid_0.25,3,287,10.0209,0.19469,0.26438,0.31707,0.53310
syn_V20_ELOW_z0.5_e0.6_m4_s1,lambda_hybrid_0.5,3,287,10.1498,0.18435,0.25744,0.30314,0.52962
syn_V20_ELOW_z0.5_e0.6_m4_s1,lambda_hybrid_0.75,3,287,10.4042,0.16388,0.24930,0.26481,0.53310
syn_V20_ELOW_z0.5_e0.6_m4_s1,active_elic2,3,287,,,,,
syn_V20_ELOW_z0.5_e0.6_m4_s1,pop_global,5,165,9.8848,0.20424,0.26595,0.34545,0.53939
syn_V20_ELOW_z0.5_e0.6_m4_s1,recency_pop_0.1,5,165,10.0667,0.19828,0.26958,0.31515,0.53939
syn_V20_ELOW_z0.5_e0.6_m4_s1,recency_pop_0.5,5,165,9.8606,0.21777,0.27470,0.35152,0.52727
syn_V20_ELOW_z0.5_e0.6_m4_s1,recency_pop_1.0,5,165,9.8909,0.21542,0.27410,0.34545,0.52727
syn_V20_ELOW_z0.5_e0.6_m4_s1,pop_category,5,165,9.6182,0.23437,0.30371,0.35758,0.57576
syn_V20_ELOW_z0.5_e0.6_m4_s1,pop_price,5,165,9.9030,0.20015,0.26352,0.34545,0.54545
syn_V20_ELOW_z0.5_e0.6_m4_s1,content_knn_1,5,165,10.5758,0.16274,0.22587,0.28485,0.48485
syn_V20_ELOW_z0.5_e0.6_m4_s1,content_knn_3,5,165,10.6545,0.14472,0.22344,0.25455,0.50303
syn_V20_ELOW_z0.5_e0.6_m4_s1,content_knn_5,5,165,10.2000,0.18967,0.26142,0.29091,0.51515
syn_V20_ELOW_z0.5_e0.6_m4_s1,last_item_nbhd,5,165,10.3455,0.17569,0.24410,0.28485,0.49697
syn_V20_ELOW_z0.5_e0.6_m4_s1,pop_scaled_content,5,165,9.8000,0.21416,0.28210,0.33333,0.54545
syn_V20_ELOW_z0.5_e0.6_m4_s1,co_purchase,5,165,9.8727,0.19344,0.26855,0.30909,0.53939
syn_V20_ELOW_z0.5_e0.6_m4_s1,lambda_hybrid_0.25,5,165,9.6909,0.21644,0.28276,0.35758,0.56364
syn_V20_ELOW_z0.5_e0.6_m4_s1,lambda_hybrid_0.5,5,165,9.6485,0.22697,0.29044,0.35152,0.55152
syn_V20_ELOW_z0.5_e0.6_m4_s1,lambda_hybrid_0.75,5,165,9.8970,0.21606,0.28679,0.32727,0.55152
syn_V20_ELOW_z0.5_e0.6_m4_s1,active_elic2,5,165,,,,,
syn_V20_ELOW_z0.5_e0.6_m4_s1,pop_global,8,70,10.9714,0.13974,0.20911,0.24286,0.45714
