catalog_id,heuristic,k,published_ndcg5,mine_ndcg5,delta,pass_1e6,pass_print5
synth_attr_hetero_s0,recency_pop_0.5,5,0.1427400,0.1427386,-1.364e-06,False,True
synth_attr_hetero_s0,recency_pop_1.0,5,0.1444000,0.1444040,4.050e-06,False,True
synth_attr_hetero_s0,pop_category,5,0.2090800,0.2090825,2.529e-06,False,True
synth_attr_hetero_s0,pop_price,5,0.2265400,0.2265379,-2.089e-06,False,True
synth_attr_hetero_s0,content_knn_1,5,0.0059100,0.0059105,4.948e-07,True,True
synth_attr_hetero_s0,content_knn_3,5,0.0031400,0.0031435,3.504e-06,False,True
synth_attr_hetero_s0,content_knn_5,5,0.0031400,0.0031435,3.504e-06,False,True
synth_attr_hetero_s0,last_item_nbhd,5,0.0046500,0.0046495,-4.721e-07,True,True
synth_attr_hetero_s0,pop_scaled_content,5,0.1392000,0.1392008,7.651e-07,True,True
synth_attr_hetero_s0,co_purchase,5,0.0037600,0.0037633,3.259e-06,False,True
synth_attr_hetero_s0,lambda_hybrid_0.25,5,0.2096800,0.2096844,4.351e-06,False,True
synth_attr_hetero_s0,lambda_hybrid_0.5,5,0.1234100,0.1234144,4.374e-06,False,True
synth_attr_hetero_s0,lambda_hybrid_0.75,5,0.0388600,0.0388557,-4.299e-06,False,True
synth_attr_hetero_s0,pop_global,8,0.2145800,0.2145845,4.541e-06,False,True
synth_attr_hetero_s0,recency_pop_0.1,8,0.1610000,0.1609987,-1.320e-06,False,True
synth_attr_hetero_s0,recency_pop_0.5,8,0.1663900,0.1663859,-4.124e-06,False,True
synth_attr_hetero_s0,recency_pop_1.0,8,0.1669700,0.1669706,6.329e-07,True,True
synth_attr_hetero_s0,pop_category,8,0.2037200,0.2037224,2.374e-06,False,True
synth_attr_hetero_s0,pop_price,8,0.2186700,0.2186691,-8.739e-07,True,True
synth_attr_hetero_s0,content_knn_1,8,0.0057200,0.0057178,-2.226e-06,False,True
synth_attr_hetero_s0,content_knn_3,8,0.0030300,0.0030296,-3.985e-07,True,True
synth_attr_hetero_s0,content_knn_5,8,0.0030300,0.0030296,-3.985e-07,True,True
synth_attr_hetero_s0,last_item_nbhd,8,0.0045200,0.0045208,8.410e-07,True,True
synth_attr_hetero_s0,pop_scaled_content,8,0.1529600,0.1529616,1.583e-06,False,True
synth_attr_hetero_s0,co_purchase,8,0.0039100,0.0039087,-1.335e-06,False,True
synth_attr_hetero_s0,lambda_hybrid_0.25,8,0.2035700,0.2035663,-3.674e-06,False,True
synth_attr_hetero_s0,lambda_hybrid_0.5,8,0.1272300,0.1272310,9.787e-07,True,True
synth_attr_hetero_s0,lambda_hybrid_0.75,8,0.0406200,0.0406239,3.881e-06,False,True
synth_attr_hetero_s0,HEADROOM,,-0.2183045,-0.2183045,-5.551e-17,True,True
synth_attr_many_s0,pop_global,0,0.2273600,0.2273605,4.550e-07,True,True
synth_attr_many_s0,recency_pop_0.1,0,0.0326600,0.0326600,1.557e-08,True,True
synth_attr_many_s0,recency_pop_0.5,0,0.0861100,0.0861117,1.708e-06,False,True
synth_attr_many_s0,recency_pop_1.0,0,0.0923900,0.0923859,-4.098e-06,False,True
synth_attr_many_s0,pop_category,0,0.1576500,0.1576529,2.869e-06,False,True
synth_attr_many_s0,pop_price,0,0.2370200,0.2370228,2.823e-06,False,True
synth_attr_many_s0,lambda_hybrid_0.25,0,0.2273600,0.2273605,4.550e-07,True,True
synth_attr_many_s0,lambda_hybrid_0.5,0,0.2273600,0.2273605,4.550e-07,True,True
synth_attr_many_s0,lambda_hybrid_0.75,0,0.2273600,0.2273605,4.550e-07,True,True
synth_attr_many_s0,active_elic2,0,0.1576500,0.1576529,2.869e-06,False,True
synth_attr_many_s0,pop_global,1,0.2215900,0.2215880,-1.960e-06,False,True
synth_attr_many_s0,recency_pop_0.1,1,0.1330200,0.1330184,-1.571e-06,False,True
synth_attr_many_s0,recency_pop_0.5,1,0.1507600,0.1507601,1.311e-07,True,True
synth_attr_many_s0,recency_pop_1.0,1,0.1512700,0.1512702,1.965e-07,True,True
synth_attr_many_s0,pop_category,1,0.1698000,0.1697951,-4.923e-06,False,True
synth_attr_many_s0,pop_price,1,0.2254000,0.2254007,6.644e-07,True,True
synth_attr_many_s0,content_knn_1,1,0.0185300,0.0185320,1.976e-06,False,True
synth_attr_many_s0,content_knn_3,1,0.0153400,0.0153418,1.789e-06,False,True
synth_attr_many_s0,content_knn_5,1,0.0169500,0.0169549,4.936e-06,False,True
synth_attr_many_s0,last_item_nbhd,1,0.0185800,0.0185758,-4.200e-06,False,True
synth_attr_many_s0,pop_scaled_content,1,0.1456300,0.1456257,-4.335e-06,False,True
synth_attr_many_s0,co_purchase,1,0.0053800,0.0053827,2.723e-06,False,True
synth_attr_many_s0,lambda_hybrid_0.25,1,0.1909400,0.1909397,-3.143e-07,True,True
synth_attr_many_s0,lambda_hybrid_0.5,1,0.1200500,0.1200534,3.426e-06,False,True
synth_attr_many_s0,lambda_hybrid_0.75,1,0.0661300,0.0661350,4.953e-06,False,True
synth_attr_many_s0,pop_global,2,0.2206400,0.2206365,-3.493e-06,False,True
synth_attr_many_s0,recency_pop_0.1,2,0.0831500,0.0831548,4.780e-06,False,True
synth_attr_many_s0,recency_pop_0.5,2,0.1105600,0.1105580,-2.034e-06,False,True
synth_attr_many_s0,recency_pop_1.0,2,0.1132500,0.1132471,-2.929e-06,False,True
synth_attr_many_s0,pop_category,2,0.1941300,0.1941257,-4.309e-06,False,True
synth_attr_many_s0,pop_price,2,0.2171400,0.2171410,9.944e-07,True,True
synth_attr_many_s0,content_knn_1,2,0.0096200,0.0096155,-4.505e-06,False,True
synth_attr_many_s0,content_knn_3,2,0.0110000,0.0110023,2.348e-06,False,True
synth_attr_many_s0,content_knn_5,2,0.0113900,0.0113892,-7.989e-07,True,True
