catalog_id,k,heuristic,ndcg5,ci_lo,ci_hi
phi_V100_EHIGH_z0.5_p0.25_s1,2,pop_global,0.316200,0.290079,0.342044
phi_V100_EHIGH_z0.5_p0.25_s1,2,recency_pop_0.1,0.093810,0.077870,0.110233
phi_V100_EHIGH_z0.5_p0.25_s1,2,recency_pop_0.5,0.173424,0.150607,0.196604
phi_V100_EHIGH_z0.5_p0.25_s1,2,recency_pop_1.0,0.176138,0.155348,0.197399
phi_V100_EHIGH_z0.5_p0.25_s1,2,pop_category,0.311470,0.284449,0.337402
phi_V100_EHIGH_z0.5_p0.25_s1,2,pop_price,0.301802,0.278604,0.326004
phi_V100_EHIGH_z0.5_p0.25_s1,2,content_knn_1,0.032788,0.025190,0.040663
phi_V100_EHIGH_z0.5_p0.25_s1,2,content_knn_3,0.055406,0.044976,0.065215
phi_V100_EHIGH_z0.5_p0.25_s1,2,content_knn_5,0.031740,0.024240,0.039627
phi_V100_EHIGH_z0.5_p0.25_s1,2,last_item_nbhd,0.032964,0.025071,0.041459
phi_V100_EHIGH_z0.5_p0.25_s1,2,pop_scaled_content,0.292893,0.267443,0.319300
phi_V100_EHIGH_z0.5_p0.25_s1,2,co_purchase,0.003953,0.001387,0.007270
phi_V100_EHIGH_z0.5_p0.25_s1,2,lambda_hybrid_0.25,0.273405,0.247578,0.301495
phi_V100_EHIGH_z0.5_p0.25_s1,2,lambda_hybrid_0.5,0.235059,0.211910,0.260081
phi_V100_EHIGH_z0.5_p0.25_s1,2,lambda_hybrid_0.75,0.138406,0.118955,0.160524
phi_V100_EHIGH_z0.5_p0.25_s1,3,pop_global,0.249155,0.225878,0.274303
phi_V100_EHIGH_z0.5_p0.25_s1,3,recency_pop_0.1,0.100670,0.084654,0.117632
phi_V100_EHIGH_z0.5_p0.25_s1,3,recency_pop_0.5,0.125637,0.106453,0.145100
phi_V100_EHIGH_z0.5_p0.25_s1,3,recency_pop_1.0,0.128229,0.108329,0.149299
phi_V100_EHIGH_z0.5_p0.25_s1,3,pop_category,0.240844,0.217360,0.266862
phi_V100_EHIGH_z0.5_p0.25_s1,3,pop_price,0.232848,0.207624,0.256774
phi_V100_EHIGH_z0.5_p0.25_s1,3,content_knn_1,0.030414,0.022659,0.038729
phi_V100_EHIGH_z0.5_p0.25_s1,3,content_knn_3,0.036202,0.027810,0.045022
phi_V100_EHIGH_z0.5_p0.25_s1,3,content_knn_5,0.033364,0.025334,0.041636
phi_V100_EHIGH_z0.5_p0.25_s1,3,last_item_nbhd,0.032704,0.025149,0.040847
phi_V100_EHIGH_z0.5_p0.25_s1,3,pop_scaled_content,0.225035,0.201816,0.248069
phi_V100_EHIGH_z0.5_p0.25_s1,3,co_purchase,0.007412,0.003458,0.012015
phi_V100_EHIGH_z0.5_p0.25_s1,3,lambda_hybrid_0.25,0.204592,0.181392,0.228739
phi_V100_EHIGH_z0.5_p0.25_s1,3,lambda_hybrid_0.5,0.152390,0.133857,0.173719
phi_V100_EHIGH_z0.5_p0.25_s1,3,lambda_hybrid_0.75,0.076598,0.061468,0.092276
phi_V100_EHIGH_z0.5_p0.25_s1,5,pop_global,0.195850,0.173775,0.217666
phi_V100_EHIGH_z0.5_p0.25_s1,5,recency_pop_0.1,0.124430,0.105313,0.142282
phi_V100_EHIGH_z0.5_p0.25_s1,5,recency_pop_0.5,0.138589,0.120689,0.158982
phi_V100_EHIGH_z0.5_p0.25_s1,5,recency_pop_1.0,0.140473,0.120357,0.159608
phi_V100_EHIGH_z0.5_p0.25_s1,5,pop_category,0.179624,0.160114,0.202764
phi_V100_EHIGH_z0.5_p0.25_s1,5,pop_price,0.185373,0.167086,0.207106
phi_V100_EHIGH_z0.5_p0.25_s1,5,content_knn_1,0.029194,0.021508,0.037059
phi_V100_EHIGH_z0.5_p0.25_s1,5,content_knn_3,0.032050,0.023475,0.040500
phi_V100_EHIGH_z0.5_p0.25_s1,5,content_knn_5,0.026825,0.019200,0.034849
phi_V100_EHIGH_z0.5_p0.25_s1,5,last_item_nbhd,0.028126,0.020685,0.035987
phi_V100_EHIGH_z0.5_p0.25_s1,5,pop_scaled_content,0.169960,0.149702,0.193556
phi_V100_EHIGH_z0.5_p0.25_s1,5,co_purchase,0.003380,0.000827,0.007003
phi_V100_EHIGH_z0.5_p0.25_s1,5,lambda_hybrid_0.25,0.135726,0.114417,0.157150
