catalog_id,k,heuristic,ndcg5,ci_lo,ci_hi
phi_V100_ELOW_z1.5_p0.5_s0,5,content_knn_3,0.026977,0.018900,0.035358
phi_V100_ELOW_z1.5_p0.5_s0,5,content_knn_5,0.034691,0.024989,0.043802
phi_V100_ELOW_z1.5_p0.5_s0,5,last_item_nbhd,0.031148,0.022600,0.041135
phi_V100_ELOW_z1.5_p0.5_s0,5,pop_scaled_content,0.125819,0.109710,0.143443
phi_V100_ELOW_z1.5_p0.5_s0,5,co_purchase,0.007042,0.003444,0.011426
phi_V100_ELOW_z1.5_p0.5_s0,5,lambda_hybrid_0.25,0.153639,0.134102,0.173970
phi_V100_ELOW_z1.5_p0.5_s0,5,lambda_hybrid_0.5,0.136321,0.118276,0.154568
phi_V100_ELOW_z1.5_p0.5_s0,5,lambda_hybrid_0.75,0.080601,0.065921,0.096927
phi_V100_ELOW_z1.5_p0.5_s0,8,pop_global,0.173706,0.147984,0.199830
phi_V100_ELOW_z1.5_p0.5_s0,8,recency_pop_0.1,0.173498,0.148582,0.201883
phi_V100_ELOW_z1.5_p0.5_s0,8,recency_pop_0.5,0.173197,0.147153,0.198926
phi_V100_ELOW_z1.5_p0.5_s0,8,recency_pop_1.0,0.171392,0.146786,0.196354
phi_V100_ELOW_z1.5_p0.5_s0,8,pop_category,0.142992,0.122311,0.163504
phi_V100_ELOW_z1.5_p0.5_s0,8,pop_price,0.166395,0.140629,0.192443
phi_V100_ELOW_z1.5_p0.5_s0,8,content_knn_1,0.033620,0.023426,0.044068
phi_V100_ELOW_z1.5_p0.5_s0,8,content_knn_3,0.022299,0.013744,0.031897
phi_V100_ELOW_z1.5_p0.5_s0,8,content_knn_5,0.024830,0.016053,0.034936
phi_V100_ELOW_z1.5_p0.5_s0,8,last_item_nbhd,0.028811,0.019378,0.040459
phi_V100_ELOW_z1.5_p0.5_s0,8,pop_scaled_content,0.109308,0.090422,0.126533
phi_V100_ELOW_z1.5_p0.5_s0,8,co_purchase,0.002555,0.000580,0.005385
phi_V100_ELOW_z1.5_p0.5_s0,8,lambda_hybrid_0.25,0.165192,0.141976,0.189482
phi_V100_ELOW_z1.5_p0.5_s0,8,lambda_hybrid_0.5,0.118194,0.098816,0.137241
phi_V100_ELOW_z1.5_p0.5_s0,8,lambda_hybrid_0.75,0.063643,0.048084,0.079609
phi_V100_ELOW_z1.5_p0.5_s1,0,pop_global,0.182756,0.162263,0.206346
phi_V100_ELOW_z1.5_p0.5_s1,0,recency_pop_0.1,0.037330,0.027335,0.046805
phi_V100_ELOW_z1.5_p0.5_s1,0,recency_pop_0.5,0.036599,0.027736,0.046848
phi_V100_ELOW_z1.5_p0.5_s1,0,recency_pop_1.0,0.040702,0.031301,0.050975
phi_V100_ELOW_z1.5_p0.5_s1,0,pop_category,0.183916,0.162965,0.206738
phi_V100_ELOW_z1.5_p0.5_s1,0,pop_price,0.182363,0.160128,0.202951
phi_V100_ELOW_z1.5_p0.5_s1,0,lambda_hybrid_0.25,0.182756,0.160977,0.203811
phi_V100_ELOW_z1.5_p0.5_s1,0,lambda_hybrid_0.5,0.182756,0.161025,0.203108
phi_V100_ELOW_z1.5_p0.5_s1,0,lambda_hybrid_0.75,0.182756,0.161284,0.203361
phi_V100_ELOW_z1.5_p0.5_s1,0,active_elic2,0.106651,0.090595,0.122898
phi_V100_ELOW_z1.5_p0.5_s1,1,pop_global,0.166514,0.146774,0.188253
phi_V100_ELOW_z1.5_p0.5_s1,1,recency_pop_0.1,0.051461,0.041267,0.063251
phi_V100_ELOW_z1.5_p0.5_s1,1,recency_pop_0.5,0.052504,0.042011,0.063152
phi_V100_ELOW_z1.5_p0.5_s1,1,recency_pop_1.0,0.059112,0.046623,0.071860
phi_V100_ELOW_z1.5_p0.5_s1,1,pop_category,0.166127,0.146923,0.187117
phi_V100_ELOW_z1.5_p0.5_s1,1,pop_price,0.164377,0.144343,0.185109
phi_V100_ELOW_z1.5_p0.5_s1,1,content_knn_1,0.025554,0.017882,0.033305
phi_V100_ELOW_z1.5_p0.5_s1,1,content_knn_3,0.025615,0.017916,0.033883
phi_V100_ELOW_z1.5_p0.5_s1,1,content_knn_5,0.026055,0.018710,0.034115
phi_V100_ELOW_z1.5_p0.5_s1,1,last_item_nbhd,0.025209,0.018381,0.032206
phi_V100_ELOW_z1.5_p0.5_s1,1,pop_scaled_content,0.130537,0.112783,0.149304
phi_V100_ELOW_z1.5_p0.5_s1,1,co_purchase,0.024463,0.017186,0.031782
phi_V100_ELOW_z1.5_p0.5_s1,1,lambda_hybrid_0.25,0.163299,0.144010,0.183636
phi_V100_ELOW_z1.5_p0.5_s1,1,lambda_hybrid_0.5,0.140933,0.121610,0.161471
phi_V100_ELOW_z1.5_p0.5_s1,1,lambda_hybrid_0.75,0.064614,0.050404,0.078673
phi_V100_ELOW_z1.5_p0.5_s1,2,pop_global,0.163329,0.143987,0.183544
phi_V100_ELOW_z1.5_p0.5_s1,2,recency_pop_0.1,0.071046,0.058258,0.083669
phi_V100_ELOW_z1.5_p0.5_s1,2,recency_pop_0.5,0.075004,0.061158,0.088981
phi_V100_ELOW_z1.5_p0.5_s1,2,recency_pop_1.0,0.077801,0.064837,0.092301
phi_V100_ELOW_z1.5_p0.5_s1,2,pop_category,0.160303,0.141450,0.180232
phi_V100_ELOW_z1.5_p0.5_s1,2,pop_price,0.159357,0.139894,0.179374
phi_V100_ELOW_z1.5_p0.5_s1,2,content_knn_1,0.032294,0.023631,0.041482
phi_V100_ELOW_z1.5_p0.5_s1,2,content_knn_3,0.028598,0.019987,0.036932
phi_V100_ELOW_z1.5_p0.5_s1,2,content_knn_5,0.029876,0.021432,0.038589
phi_V100_ELOW_z1.5_p0.5_s1,2,last_item_nbhd,0.034783,0.026083,0.044751
phi_V100_ELOW_z1.5_p0.5_s1,2,pop_scaled_content,0.146815,0.129405,0.165824
phi_V100_ELOW_z1.5_p0.5_s1,2,co_purchase,0.023098,0.016256,0.030414
phi_V100_ELOW_z1.5_p0.5_s1,2,lambda_hybrid_0.25,0.162634,0.143092,0.182538
phi_V100_ELOW_z1.5_p0.5_s1,2,lambda_hybrid_0.5,0.134220,0.116003,0.151563
phi_V100_ELOW_z1.5_p0.5_s1,2,lambda_hybrid_0.75,0.083731,0.068600,0.100456
phi_V100_ELOW_z1.5_p0.5_s1,3,pop_global,0.148534,0.130256,0.168537
phi_V100_ELOW_z1.5_p0.5_s1,3,recency_pop_0.1,0.082605,0.069582,0.097510
phi_V100_ELOW_z1.5_p0.5_s1,3,recency_pop_0.5,0.089122,0.075374,0.103563
phi_V100_ELOW_z1.5_p0.5_s1,3,recency_pop_1.0,0.088621,0.074790,0.103629
phi_V100_ELOW_z1.5_p0.5_s1,3,pop_category,0.137666,0.119740,0.155141
phi_V100_ELOW_z1.5_p0.5_s1,3,pop_price,0.145059,0.126581,0.163554
phi_V100_ELOW_z1.5_p0.5_s1,3,content_knn_1,0.025828,0.018328,0.033383
phi_V100_ELOW_z1.5_p0.5_s1,3,content_knn_3,0.023338,0.015980,0.031128
phi_V100_ELOW_z1.5_p0.5_s1,3,content_knn_5,0.019540,0.012704,0.026177
phi_V100_ELOW_z1.5_p0.5_s1,3,last_item_nbhd,0.027482,0.019446,0.036545
phi_V100_ELOW_z1.5_p0.5_s1,3,pop_scaled_content,0.135447,0.117969,0.153998
phi_V100_ELOW_z1.5_p0.5_s1,3,co_purchase,0.015313,0.009601,0.021358
phi_V100_ELOW_z1.5_p0.5_s1,3,lambda_hybrid_0.25,0.141881,0.123422,0.161810
phi_V100_ELOW_z1.5_p0.5_s1,3,lambda_hybrid_0.5,0.124252,0.106554,0.141518
phi_V100_ELOW_z1.5_p0.5_s1,3,lambda_hybrid_0.75,0.064889,0.052154,0.078025
phi_V100_ELOW_z1.5_p0.5_s1,5,pop_global,0.129725,0.112717,0.147121
phi_V100_ELOW_z1.5_p0.5_s1,5,recency_pop_0.1,0.120515,0.102247,0.139422
phi_V100_ELOW_z1.5_p0.5_s1,5,recency_pop_0.5,0.123224,0.106291,0.140981
phi_V100_ELOW_z1.5_p0.5_s1,5,recency_pop_1.0,0.120046,0.103465,0.137861
phi_V100_ELOW_z1.5_p0.5_s1,5,pop_category,0.130455,0.113551,0.148010
phi_V100_ELOW_z1.5_p0.5_s1,5,pop_price,0.132121,0.113798,0.149817
phi_V100_ELOW_z1.5_p0.5_s1,5,content_knn_1,0.028184,0.019900,0.035748
phi_V100_ELOW_z1.5_p0.5_s1,5,content_knn_3,0.030277,0.021402,0.039996
phi_V100_ELOW_z1.5_p0.5_s1,5,content_knn_5,0.027269,0.018698,0.036782
phi_V100_ELOW_z1.5_p0.5_s1,5,last_item_nbhd,0.026647,0.018804,0.034631
phi_V100_ELOW_z1.5_p0.5_s1,5,pop_scaled_content,0.130287,0.113323,0.147744
phi_V100_ELOW_z1.5_p0.5_s1,5,co_purchase,0.008796,0.004553,0.013489
phi_V100_ELOW_z1.5_p0.5_s1,5,lambda_hybrid_0.25,0.133051,0.115743,0.150895
phi_V100_ELOW_z1.5_p0.5_s1,5,lambda_hybrid_0.5,0.108319,0.090912,0.125135
phi_V100_ELOW_z1.5_p0.5_s1,5,lambda_hybrid_0.75,0.064373,0.052799,0.077927
phi_V100_ELOW_z1.5_p0.5_s1,8,pop_global,0.100806,0.083715,0.119185
phi_V100_ELOW_z1.5_p0.5_s1,8,recency_pop_0.1,0.126599,0.106666,0.146160
phi_V100_ELOW_z1.5_p0.5_s1,8,recency_pop_0.5,0.123004,0.101844,0.143917
phi_V100_ELOW_z1.5_p0.5_s1,8,recency_pop_1.0,0.113534,0.094770,0.133365
phi_V100_ELOW_z1.5_p0.5_s1,8,pop_category,0.108797,0.089911,0.128256
phi_V100_ELOW_z1.5_p0.5_s1,8,pop_price,0.099015,0.082159,0.117826
phi_V100_ELOW_z1.5_p0.5_s1,8,content_knn_1,0.023891,0.014792,0.033251
phi_V100_ELOW_z1.5_p0.5_s1,8,content_knn_3,0.015209,0.007920,0.022812
phi_V100_ELOW_z1.5_p0.5_s1,8,content_knn_5,0.013204,0.006282,0.020083
phi_V100_ELOW_z1.5_p0.5_s1,8,last_item_nbhd,0.021073,0.012720,0.029684
phi_V100_ELOW_z1.5_p0.5_s1,8,pop_scaled_content,0.104349,0.086880,0.122538
phi_V100_ELOW_z1.5_p0.5_s1,8,co_purchase,0.006903,0.002645,0.011997
phi_V100_ELOW_z1.5_p0.5_s1,8,lambda_hybrid_0.25,0.104740,0.086371,0.123237
phi_V100_ELOW_z1.5_p0.5_s1,8,lambda_hybrid_0.5,0.082695,0.066527,0.100535
phi_V100_ELOW_z1.5_p0.5_s1,8,lambda_hybrid_0.75,0.044232,0.031134,0.059041
phi_V100_ELOW_z1.5_p0.5_s2,0,pop_global,0.088738,0.074378,0.103492
phi_V100_ELOW_z1.5_p0.5_s2,0,recency_pop_0.1,0.038730,0.029105,0.049159
phi_V100_ELOW_z1.5_p0.5_s2,0,recency_pop_0.5,0.038824,0.028760,0.049554
phi_V100_ELOW_z1.5_p0.5_s2,0,recency_pop_1.0,0.038824,0.028726,0.049310
phi_V100_ELOW_z1.5_p0.5_s2,0,pop_category,0.077365,0.064084,0.090998
phi_V100_ELOW_z1.5_p0.5_s2,0,pop_price,0.088829,0.075159,0.102860
phi_V100_ELOW_z1.5_p0.5_s2,0,lambda_hybrid_0.25,0.088738,0.075133,0.102925
phi_V100_ELOW_z1.5_p0.5_s2,0,lambda_hybrid_0.5,0.088738,0.073704,0.103952
phi_V100_ELOW_z1.5_p0.5_s2,0,lambda_hybrid_0.75,0.088738,0.074207,0.104490
phi_V100_ELOW_z1.5_p0.5_s2,0,active_elic2,0.077365,0.063163,0.091690
phi_V100_ELOW_z1.5_p0.5_s2,1,pop_global,0.111419,0.096405,0.128047
phi_V100_ELOW_z1.5_p0.5_s2,1,recency_pop_0.1,0.049069,0.039790,0.059168
phi_V100_ELOW_z1.5_p0.5_s2,1,recency_pop_0.5,0.058138,0.046446,0.070159
phi_V100_ELOW_z1.5_p0.5_s2,1,recency_pop_1.0,0.059325,0.047633,0.070810
phi_V100_ELOW_z1.5_p0.5_s2,1,pop_category,0.102167,0.087177,0.117735
phi_V100_ELOW_z1.5_p0.5_s2,1,pop_price,0.109459,0.092520,0.127377
phi_V100_ELOW_z1.5_p0.5_s2,1,content_knn_1,0.042280,0.032474,0.053488
phi_V100_ELOW_z1.5_p0.5_s2,1,content_knn_3,0.047416,0.036906,0.058063
phi_V100_ELOW_z1.5_p0.5_s2,1,content_knn_5,0.038992,0.029797,0.049362
phi_V100_ELOW_z1.5_p0.5_s2,1,last_item_nbhd,0.042845,0.033002,0.053256
phi_V100_ELOW_z1.5_p0.5_s2,1,pop_scaled_content,0.098995,0.083623,0.115185
phi_V100_ELOW_z1.5_p0.5_s2,1,co_purchase,0.024766,0.017136,0.032594
phi_V100_ELOW_z1.5_p0.5_s2,1,lambda_hybrid_0.25,0.106945,0.090164,0.123842
phi_V100_ELOW_z1.5_p0.5_s2,1,lambda_hybrid_0.5,0.099949,0.084232,0.115395
phi_V100_ELOW_z1.5_p0.5_s2,1,lambda_hybrid_0.75,0.065303,0.052695,0.078713
phi_V100_ELOW_z1.5_p0.5_s2,2,pop_global,0.116643,0.101053,0.134406
phi_V100_ELOW_z1.5_p0.5_s2,2,recency_pop_0.1,0.073708,0.060849,0.088849
phi_V100_ELOW_z1.5_p0.5_s2,2,recency_pop_0.5,0.077565,0.063768,0.092107
phi_V100_ELOW_z1.5_p0.5_s2,2,recency_pop_1.0,0.077890,0.064120,0.092899
phi_V100_ELOW_z1.5_p0.5_s2,2,pop_category,0.110427,0.094459,0.126222
phi_V100_ELOW_z1.5_p0.5_s2,2,pop_price,0.115015,0.099719,0.132880
phi_V100_ELOW_z1.5_p0.5_s2,2,content_knn_1,0.038309,0.029110,0.048388
phi_V100_ELOW_z1.5_p0.5_s2,2,content_knn_3,0.030665,0.022291,0.039201
phi_V100_ELOW_z1.5_p0.5_s2,2,content_knn_5,0.030249,0.021889,0.039806
phi_V100_ELOW_z1.5_p0.5_s2,2,last_item_nbhd,0.036758,0.027348,0.046385
phi_V100_ELOW_z1.5_p0.5_s2,2,pop_scaled_content,0.097778,0.083324,0.114849
phi_V100_ELOW_z1.5_p0.5_s2,2,co_purchase,0.015996,0.010594,0.021717
phi_V100_ELOW_z1.5_p0.5_s2,2,lambda_hybrid_0.25,0.112412,0.096356,0.129557
phi_V100_ELOW_z1.5_p0.5_s2,2,lambda_hybrid_0.5,0.100616,0.084292,0.116500
phi_V100_ELOW_z1.5_p0.5_s2,2,lambda_hybrid_0.75,0.058735,0.047104,0.071548
phi_V100_ELOW_z1.5_p0.5_s2,3,pop_global,0.145830,0.128651,0.164370
phi_V100_ELOW_z1.5_p0.5_s2,3,recency_pop_0.1,0.087657,0.072295,0.102547
phi_V100_ELOW_z1.5_p0.5_s2,3,recency_pop_0.5,0.089448,0.074672,0.105597
phi_V100_ELOW_z1.5_p0.5_s2,3,recency_pop_1.0,0.090627,0.075510,0.105279
phi_V100_ELOW_z1.5_p0.5_s2,3,pop_category,0.141083,0.120506,0.160188
phi_V100_ELOW_z1.5_p0.5_s2,3,pop_price,0.144293,0.125796,0.163389
phi_V100_ELOW_z1.5_p0.5_s2,3,content_knn_1,0.033990,0.025396,0.043509
phi_V100_ELOW_z1.5_p0.5_s2,3,content_knn_3,0.029977,0.020967,0.039041
phi_V100_ELOW_z1.5_p0.5_s2,3,content_knn_5,0.033598,0.024745,0.043024
phi_V100_ELOW_z1.5_p0.5_s2,3,last_item_nbhd,0.037275,0.028285,0.047655
phi_V100_ELOW_z1.5_p0.5_s2,3,pop_scaled_content,0.123567,0.106817,0.141559
phi_V100_ELOW_z1.5_p0.5_s2,3,co_purchase,0.013833,0.008643,0.019714
phi_V100_ELOW_z1.5_p0.5_s2,3,lambda_hybrid_0.25,0.142865,0.123389,0.161200
phi_V100_ELOW_z1.5_p0.5_s2,3,lambda_hybrid_0.5,0.121652,0.104179,0.140254
phi_V100_ELOW_z1.5_p0.5_s2,3,lambda_hybrid_0.75,0.069909,0.057330,0.084851
phi_V100_ELOW_z1.5_p0.5_s2,5,pop_global,0.153966,0.134227,0.173876
phi_V100_ELOW_z1.5_p0.5_s2,5,recency_pop_0.1,0.131922,0.113951,0.150322
phi_V100_ELOW_z1.5_p0.5_s2,5,recency_pop_0.5,0.132167,0.114061,0.151574
phi_V100_ELOW_z1.5_p0.5_s2,5,recency_pop_1.0,0.132341,0.114931,0.152942
phi_V100_ELOW_z1.5_p0.5_s2,5,pop_category,0.153887,0.134475,0.173790
phi_V100_ELOW_z1.5_p0.5_s2,5,pop_price,0.144173,0.124755,0.164853
phi_V100_ELOW_z1.5_p0.5_s2,5,content_knn_1,0.023867,0.015904,0.031905
phi_V100_ELOW_z1.5_p0.5_s2,5,content_knn_3,0.025587,0.017975,0.034823
phi_V100_ELOW_z1.5_p0.5_s2,5,content_knn_5,0.023668,0.016219,0.032602
phi_V100_ELOW_z1.5_p0.5_s2,5,last_item_nbhd,0.029389,0.020894,0.038023
phi_V100_ELOW_z1.5_p0.5_s2,5,pop_scaled_content,0.121896,0.104929,0.140718
phi_V100_ELOW_z1.5_p0.5_s2,5,co_purchase,0.006250,0.002849,0.009915
phi_V100_ELOW_z1.5_p0.5_s2,5,lambda_hybrid_0.25,0.147564,0.129013,0.167876
phi_V100_ELOW_z1.5_p0.5_s2,5,lambda_hybrid_0.5,0.124550,0.106839,0.144054
phi_V100_ELOW_z1.5_p0.5_s2,5,lambda_hybrid_0.75,0.054626,0.042259,0.068315
phi_V100_ELOW_z1.5_p0.5_s2,8,pop_global,0.191444,0.165858,0.217949
phi_V100_ELOW_z1.5_p0.5_s2,8,recency_pop_0.1,0.198916,0.170838,0.225600
phi_V100_ELOW_z1.5_p0.5_s2,8,recency_pop_0.5,0.198639,0.170988,0.227303
phi_V100_ELOW_z1.5_p0.5_s2,8,recency_pop_1.0,0.196960,0.169256,0.224640
phi_V100_ELOW_z1.5_p0.5_s2,8,pop_category,0.205314,0.179997,0.231706
phi_V100_ELOW_z1.5_p0.5_s2,8,pop_price,0.166432,0.140932,0.191185
phi_V100_ELOW_z1.5_p0.5_s2,8,content_knn_1,0.027025,0.017012,0.037774
phi_V100_ELOW_z1.5_p0.5_s2,8,content_knn_3,0.033480,0.022778,0.046203
phi_V100_ELOW_z1.5_p0.5_s2,8,content_knn_5,0.029914,0.019779,0.042253
phi_V100_ELOW_z1.5_p0.5_s2,8,last_item_nbhd,0.035521,0.024114,0.047966
phi_V100_ELOW_z1.5_p0.5_s2,8,pop_scaled_content,0.148732,0.125773,0.171910
phi_V100_ELOW_z1.5_p0.5_s2,8,co_purchase,0.007326,0.002625,0.013111
phi_V100_ELOW_z1.5_p0.5_s2,8,lambda_hybrid_0.25,0.190200,0.164990,0.218479
phi_V100_ELOW_z1.5_p0.5_s2,8,lambda_hybrid_0.5,0.158861,0.132900,0.183914
phi_V100_ELOW_z1.5_p0.5_s2,8,lambda_hybrid_0.75,0.057824,0.043303,0.075375
phi_V100_ELOW_z1.5_p0_s0,0,pop_global,0.109817,0.095309,0.123389
phi_V100_ELOW_z1.5_p0_s0,0,recency_pop_0.1,0.037809,0.028449,0.047604
phi_V100_ELOW_z1.5_p0_s0,0,recency_pop_0.5,0.041206,0.031699,0.053513
phi_V100_ELOW_z1.5_p0_s0,0,recency_pop_1.0,0.042242,0.032469,0.052194
phi_V100_ELOW_z1.5_p0_s0,0,pop_category,0.136417,0.117512,0.155783
phi_V100_ELOW_z1.5_p0_s0,0,pop_price,0.111751,0.097164,0.126119
phi_V100_ELOW_z1.5_p0_s0,0,lambda_hybrid_0.25,0.109817,0.097615,0.124683
phi_V100_ELOW_z1.5_p0_s0,0,lambda_hybrid_0.5,0.109817,0.095915,0.125326
phi_V100_ELOW_z1.5_p0_s0,0,lambda_hybrid_0.75,0.109817,0.095333,0.124393
phi_V100_ELOW_z1.5_p0_s0,0,active_elic2,0.153655,0.135509,0.175032
phi_V100_ELOW_z1.5_p0_s0,1,pop_global,0.122196,0.106659,0.138675
phi_V100_ELOW_z1.5_p0_s0,1,recency_pop_0.1,0.084441,0.071059,0.098512
phi_V100_ELOW_z1.5_p0_s0,1,recency_pop_0.5,0.084437,0.070839,0.099304
phi_V100_ELOW_z1.5_p0_s0,1,recency_pop_1.0,0.086159,0.072423,0.100995
phi_V100_ELOW_z1.5_p0_s0,1,pop_category,0.134631,0.116569,0.153632
phi_V100_ELOW_z1.5_p0_s0,1,pop_price,0.120816,0.105867,0.135209
phi_V100_ELOW_z1.5_p0_s0,1,content_knn_1,0.036178,0.026736,0.045856
phi_V100_ELOW_z1.5_p0_s0,1,content_knn_3,0.039095,0.029719,0.049941
phi_V100_ELOW_z1.5_p0_s0,1,content_knn_5,0.032209,0.023839,0.042373
phi_V100_ELOW_z1.5_p0_s0,1,last_item_nbhd,0.038589,0.028119,0.049392
phi_V100_ELOW_z1.5_p0_s0,1,pop_scaled_content,0.123254,0.107119,0.140438
phi_V100_ELOW_z1.5_p0_s0,1,co_purchase,0.014060,0.008813,0.019992
phi_V100_ELOW_z1.5_p0_s0,1,lambda_hybrid_0.25,0.121249,0.104890,0.138200
phi_V100_ELOW_z1.5_p0_s0,1,lambda_hybrid_0.5,0.127456,0.111174,0.146669
phi_V100_ELOW_z1.5_p0_s0,1,lambda_hybrid_0.75,0.071779,0.058683,0.086303
phi_V100_ELOW_z1.5_p0_s0,2,pop_global,0.133105,0.116742,0.149727
phi_V100_ELOW_z1.5_p0_s0,2,recency_pop_0.1,0.085188,0.071165,0.099660
phi_V100_ELOW_z1.5_p0_s0,2,recency_pop_0.5,0.085787,0.071385,0.100069
phi_V100_ELOW_z1.5_p0_s0,2,recency_pop_1.0,0.084637,0.069393,0.099098
phi_V100_ELOW_z1.5_p0_s0,2,pop_category,0.148043,0.130087,0.165642
phi_V100_ELOW_z1.5_p0_s0,2,pop_price,0.133105,0.116638,0.149249
phi_V100_ELOW_z1.5_p0_s0,2,content_knn_1,0.044312,0.034774,0.055327
phi_V100_ELOW_z1.5_p0_s0,2,content_knn_3,0.041630,0.031297,0.052426
phi_V100_ELOW_z1.5_p0_s0,2,content_knn_5,0.043114,0.033197,0.054092
phi_V100_ELOW_z1.5_p0_s0,2,last_item_nbhd,0.043294,0.033335,0.053441
phi_V100_ELOW_z1.5_p0_s0,2,pop_scaled_content,0.145816,0.127817,0.163425
phi_V100_ELOW_z1.5_p0_s0,2,co_purchase,0.016163,0.009851,0.023135
phi_V100_ELOW_z1.5_p0_s0,2,lambda_hybrid_0.25,0.145628,0.127758,0.166491
phi_V100_ELOW_z1.5_p0_s0,2,lambda_hybrid_0.5,0.145168,0.127386,0.164396
phi_V100_ELOW_z1.5_p0_s0,2,lambda_hybrid_0.75,0.111546,0.095373,0.128650
phi_V100_ELOW_z1.5_p0_s0,3,pop_global,0.137052,0.120995,0.154688
phi_V100_ELOW_z1.5_p0_s0,3,recency_pop_0.1,0.120182,0.102949,0.136861
phi_V100_ELOW_z1.5_p0_s0,3,recency_pop_0.5,0.125574,0.108701,0.141984
phi_V100_ELOW_z1.5_p0_s0,3,recency_pop_1.0,0.123912,0.107123,0.141147
phi_V100_ELOW_z1.5_p0_s0,3,pop_category,0.135418,0.118474,0.151619
phi_V100_ELOW_z1.5_p0_s0,3,pop_price,0.131990,0.115125,0.147984
phi_V100_ELOW_z1.5_p0_s0,3,content_knn_1,0.041744,0.032216,0.053404
phi_V100_ELOW_z1.5_p0_s0,3,content_knn_3,0.038691,0.029799,0.048744
phi_V100_ELOW_z1.5_p0_s0,3,content_knn_5,0.041955,0.032046,0.051434
phi_V100_ELOW_z1.5_p0_s0,3,last_item_nbhd,0.038037,0.029539,0.047655
phi_V100_ELOW_z1.5_p0_s0,3,pop_scaled_content,0.140440,0.121815,0.158974
phi_V100_ELOW_z1.5_p0_s0,3,co_purchase,0.011180,0.006307,0.016544
phi_V100_ELOW_z1.5_p0_s0,3,lambda_hybrid_0.25,0.145027,0.127596,0.163374
phi_V100_ELOW_z1.5_p0_s0,3,lambda_hybrid_0.5,0.143131,0.125840,0.160176
phi_V100_ELOW_z1.5_p0_s0,3,lambda_hybrid_0.75,0.095323,0.080842,0.110350
phi_V100_ELOW_z1.5_p0_s0,5,pop_global,0.142731,0.124489,0.161641
phi_V100_ELOW_z1.5_p0_s0,5,recency_pop_0.1,0.150422,0.130121,0.171825
phi_V100_ELOW_z1.5_p0_s0,5,recency_pop_0.5,0.145637,0.126738,0.167044
phi_V100_ELOW_z1.5_p0_s0,5,recency_pop_1.0,0.141365,0.121934,0.162038
phi_V100_ELOW_z1.5_p0_s0,5,pop_category,0.125926,0.109872,0.142601
phi_V100_ELOW_z1.5_p0_s0,5,pop_price,0.138763,0.118941,0.157770
phi_V100_ELOW_z1.5_p0_s0,5,content_knn_1,0.030918,0.022165,0.040181
phi_V100_ELOW_z1.5_p0_s0,5,content_knn_3,0.030299,0.021970,0.039164
phi_V100_ELOW_z1.5_p0_s0,5,content_knn_5,0.033262,0.024390,0.042729
phi_V100_ELOW_z1.5_p0_s0,5,last_item_nbhd,0.037208,0.027863,0.047188
phi_V100_ELOW_z1.5_p0_s0,5,pop_scaled_content,0.114661,0.098610,0.131711
phi_V100_ELOW_z1.5_p0_s0,5,co_purchase,0.007091,0.003269,0.012160
phi_V100_ELOW_z1.5_p0_s0,5,lambda_hybrid_0.25,0.146935,0.128137,0.166553
phi_V100_ELOW_z1.5_p0_s0,5,lambda_hybrid_0.5,0.125382,0.109531,0.140152
phi_V100_ELOW_z1.5_p0_s0,5,lambda_hybrid_0.75,0.079894,0.066850,0.095003
phi_V100_ELOW_z1.5_p0_s0,8,pop_global,0.175961,0.151551,0.201548
phi_V100_ELOW_z1.5_p0_s0,8,recency_pop_0.1,0.186913,0.163065,0.212530
phi_V100_ELOW_z1.5_p0_s0,8,recency_pop_0.5,0.190080,0.165007,0.217645
phi_V100_ELOW_z1.5_p0_s0,8,recency_pop_1.0,0.182792,0.156803,0.207358
phi_V100_ELOW_z1.5_p0_s0,8,pop_category,0.156799,0.136128,0.178908
phi_V100_ELOW_z1.5_p0_s0,8,pop_price,0.173758,0.148645,0.201007
phi_V100_ELOW_z1.5_p0_s0,8,content_knn_1,0.030905,0.020656,0.043013
phi_V100_ELOW_z1.5_p0_s0,8,content_knn_3,0.026806,0.019015,0.035458
phi_V100_ELOW_z1.5_p0_s0,8,content_knn_5,0.029225,0.019377,0.039162
phi_V100_ELOW_z1.5_p0_s0,8,last_item_nbhd,0.035756,0.024752,0.047862
phi_V100_ELOW_z1.5_p0_s0,8,pop_scaled_content,0.123461,0.104743,0.142278
phi_V100_ELOW_z1.5_p0_s0,8,co_purchase,0.005470,0.001525,0.010361
phi_V100_ELOW_z1.5_p0_s0,8,lambda_hybrid_0.25,0.176835,0.153364,0.201151
phi_V100_ELOW_z1.5_p0_s0,8,lambda_hybrid_0.5,0.131173,0.110667,0.151607
phi_V100_ELOW_z1.5_p0_s0,8,lambda_hybrid_0.75,0.080997,0.064335,0.098274
phi_V100_ELOW_z1.5_p0_s1,0,pop_global,0.178089,0.156135,0.200883
phi_V100_ELOW_z1.5_p0_s1,0,recency_pop_0.1,0.039571,0.029872,0.049228
phi_V100_ELOW_z1.5_p0_s1,0,recency_pop_0.5,0.040182,0.030702,0.050175
phi_V100_ELOW_z1.5_p0_s1,0,recency_pop_1.0,0.043079,0.032184,0.054068
phi_V100_ELOW_z1.5_p0_s1,0,pop_category,0.193176,0.171410,0.219086
phi_V100_ELOW_z1.5_p0_s1,0,pop_price,0.181985,0.159135,0.202541
