catalog_id,n_items,entropy,zipf_s,phi_nominal,phi_effective,phi_capped,seed,tighten_used,gate_KS,gate_max_abs_dev,dHHI,dNormEntropy,gate_pass
phi_V20_EHIGH_z1.5_p0.5_s1,20,HIGH,1.5,0.5,0.5,False,1,0,0.01592843115862974,0.008727907484180664,-0.000855936726765219,0.0030619237912719033,True
phi_V20_EHIGH_z1.5_p1_s0,20,HIGH,1.5,1.0,0.51043701171875,True,0,1,0.019413192146481406,0.019854401058901405,-0.00995995296691582,0.011697332622050305,True
phi_V20_EHIGH_z1.5_p1_s1,20,HIGH,1.5,1.0,0.81634521484375,True,1,1,0.027711106262273688,0.019855989526511016,-0.006554500454653889,0.01581809239743659,True
phi_V100_ELOW_z0.5_p0_s0,100,LOW,0.5,0.0,0.0,False,0,0,0.0,0.0,0.0,0.0,True
phi_V100_ELOW_z0.5_p0_s1,100,LOW,0.5,0.0,0.0,False,1,0,0.0,0.0,0.0,0.0,True
phi_V100_ELOW_z0.5_p0.25_s0,100,LOW,0.5,0.25,0.25,False,0,0,0.0066216395179447,0.007283803469739114,-0.006419736951051247,0.008159944587187606,True
phi_V100_ELOW_z0.5_p0.25_s1,100,LOW,0.5,0.25,0.25,False,1,0,0.005149194613150249,0.004357010826511742,-0.004963054782287535,0.003997264029330483,True
phi_V100_ELOW_z0.5_p0.5_s0,100,LOW,0.5,0.5,0.5,False,0,1,0.011124354390147084,0.018540590650245048,-0.016915794124694933,0.019446817643433756,True
phi_V100_ELOW_z0.5_p0.5_s1,100,LOW,0.5,0.5,0.5,False,1,0,0.011354634275151862,0.019144441510430377,-0.019216296575312986,0.013988973877186284,True
phi_V100_ELOW_z0.5_p1_s0,100,LOW,0.5,1.0,0.52935791015625,True,0,1,0.012713547874453779,0.019997351344192837,-0.018052811446767042,0.018960323100643328,True
phi_V100_ELOW_z0.5_p1_s1,100,LOW,0.5,1.0,0.75213623046875,True,1,1,0.02442566675468713,0.019276472141536827,-0.01998620215406216,0.023491403459262594,True
phi_V100_ELOW_z1.5_p0_s0,100,LOW,1.5,0.0,0.0,False,0,0,0.0,0.0,0.0,0.0,True
phi_V100_ELOW_z1.5_p0_s1,100,LOW,1.5,0.0,0.0,False,1,0,0.0,0.0,0.0,0.0,True
phi_V100_ELOW_z1.5_p0.25_s0,100,LOW,1.5,0.25,0.25,False,0,0,0.0038405509204078037,0.003178386968613429,0.000571472658065713,-0.003713849301266503,True
phi_V100_ELOW_z1.5_p0.25_s1,100,LOW,1.5,0.25,0.25,False,1,0,0.003300765777660447,0.0036968576709796655,-0.00019126486460253195,0.0007615237619748028,True
phi_V100_ELOW_z1.5_p0.5_s0,100,LOW,1.5,0.5,0.5,False,0,0,0.00463514766256129,0.003443252549331215,-0.0005052474936642799,0.001521986685149579,True
phi_V100_ELOW_z1.5_p0.5_s1,100,LOW,1.5,0.5,0.5,False,1,0,0.006205439662001377,0.005809347768682336,-0.0018693473405502654,0.006364081205942895,True
phi_V100_ELOW_z1.5_p1_s0,100,LOW,1.5,1.0,1.0,False,0,0,0.009800026486557978,0.007681101840815784,-0.001979458939354528,0.00951114598610614,True
phi_V100_ELOW_z1.5_p1_s1,100,LOW,1.5,1.0,1.0,False,1,0,0.01214681806179052,0.012278848692896749,-0.0032198111630765483,0.009742676570381192,True
