catalog_id,n_items,entropy,zipf_s,seed,phi_nominal,phi_effective,phi_capped,headroom,headroom_lo,headroom_hi,headroom_full,headroom_full_lo,headroom_full_hi,delta_vs_phi0,delta_lo,delta_hi,delta_dominant,winner_per_k,overtake_any,overtake_detail,gate_KS,gate_max_abs_dev,dHHI,dNormEntropy,inner_cells_used
phi_V20_EHIGH_z1.5_p0.25_s1,20,HIGH,1.5,1,0.25,0.25,False,-0.088712,-0.102872,-0.074320,-0.087505,-0.100653,-0.074985,-0.001392,-0.028245,0.023880,false,0:pop_price;1:pop_price;2:pop_global;3:pop_global;5:lambda_hybrid_0.25;8:lambda_hybrid_0.25,False,,0.006764,0.004364,-0.000361,0.000077,5
phi_V20_EHIGH_z1.5_p0.5_s0,20,HIGH,1.5,0,0.5,0.5,False,-0.168896,-0.185636,-0.151405,-0.169070,-0.184557,-0.152809,0.019582,-0.011552,0.051572,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:recency_pop_0.1,False,,0.011251,0.017207,-0.009119,0.011064,5
phi_V20_EHIGH_z1.5_p0.5_s1,20,HIGH,1.5,1,0.5,0.5,False,-0.094800,-0.108977,-0.080107,-0.094309,-0.107028,-0.080950,-0.008197,-0.034620,0.017914,false,0:pop_price;1:pop_price;2:pop_global;3:pop_global;5:pop_global;8:recency_pop_0.1,False,,0.015928,0.008728,-0.000856,0.003062,5
phi_V20_EHIGH_z1.5_p0.5_s2,20,HIGH,1.5,2,0.5,0.5,False,-0.151834,-0.169270,-0.134102,-0.155523,-0.170302,-0.139369,,,,,0:pop_global;1:pop_category;2:pop_category;3:pop_category;5:pop_price;8:pop_scaled_content,False,,0.010186,0.008857,0.004740,-0.012646,5
phi_V20_EHIGH_z1.5_p0_s0,20,HIGH,1.5,0,0.0,0.0,False,-0.184479,-0.203246,-0.165149,-0.188652,-0.204381,-0.173005,,,,,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:recency_pop_0.1,False,,0.000000,0.000000,0.000000,0.000000,5
phi_V20_EHIGH_z1.5_p0_s1,20,HIGH,1.5,1,0.0,0.0,False,-0.087766,-0.102132,-0.073447,-0.086113,-0.098864,-0.072408,,,,,0:pop_price;1:pop_price;2:pop_global;3:pop_global;5:pop_global;8:recency_pop_0.5,False,,0.000000,0.000000,0.000000,0.000000,5
phi_V20_EHIGH_z1.5_p1_s0,20,HIGH,1.5,0,1.0,0.5104,True,-0.175324,-0.193786,-0.157396,-0.174065,-0.190060,-0.159331,0.014587,-0.017055,0.045050,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:recency_pop_0.5,False,,0.019413,0.019854,-0.009960,0.011697,5
phi_V20_EHIGH_z1.5_p1_s1,20,HIGH,1.5,1,1.0,0.8163,True,-0.086097,-0.101335,-0.071058,-0.087136,-0.100691,-0.074600,-0.001023,-0.028283,0.024265,false,0:pop_price;1:pop_global;2:pop_global;3:pop_global;5:pop_price;8:pop_global,False,,0.027711,0.019856,-0.006555,0.015818,5
phi_V20_ELOW_z0.5_p0.25_s0,20,LOW,0.5,0,0.25,0.25,False,-0.148323,-0.160944,-0.136288,-0.148805,-0.160185,-0.135945,0.003609,-0.019740,0.028357,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_category;8:pop_global,False,,0.004191,0.003971,-0.006503,0.008888,5
phi_V20_ELOW_z0.5_p0.25_s1,20,LOW,0.5,1,0.25,0.25,False,-0.195119,-0.210561,-0.179654,-0.192704,-0.205727,-0.179935,0.001955,-0.024784,0.027952,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:recency_pop_1.0,False,,0.004364,0.003709,-0.004447,0.007513,5
phi_V20_ELOW_z0.5_p0.5_s0,20,LOW,0.5,0,0.5,0.3802,True,-0.150392,-0.163739,-0.138002,-0.148748,-0.160749,-0.136745,0.003666,-0.020304,0.027558,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_category;8:pop_category,False,,0.007280,0.012795,-0.019678,0.019945,5
phi_V20_ELOW_z0.5_p0.5_s1,20,LOW,0.5,1,0.5,0.5,False,-0.182020,-0.196388,-0.167717,-0.179348,-0.192265,-0.167310,0.015311,-0.011322,0.040577,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_category,False,,0.013310,0.013310,-0.017683,0.024239,5
phi_V20_ELOW_z0.5_p0.5_s2,20,LOW,0.5,2,0.5,0.5,False,-0.197148,-0.213920,-0.181471,-0.197626,-0.211265,-0.183342,,,,,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_category,False,,0.008636,0.014393,-0.014714,0.013171,5
phi_V20_ELOW_z0.5_p0_s0,20,LOW,0.5,0,0.0,0.0,False,-0.151394,-0.163517,-0.139627,-0.152414,-0.164303,-0.140445,,,,,0:pop_global;1:pop_global;2:pop_category;3:pop_global;5:pop_global;8:pop_global,False,,0.000000,0.000000,0.000000,0.000000,5
