catalog_id,n_items,entropy,zipf_s,seed,phi_nominal,phi_effective,phi_capped,headroom,headroom_lo,headroom_hi,headroom_full,headroom_full_lo,headroom_full_hi,delta_vs_phi0,delta_lo,delta_hi,delta_dominant,winner_per_k,overtake_any,overtake_detail,gate_KS,gate_max_abs_dev,dHHI,dNormEntropy,inner_cells_used
phi_V500_EHIGH_z0.5_p0.25_s1,500,HIGH,0.5,1,0.25,0.25,False,-0.174592,-0.184754,-0.164913,-0.171905,-0.180989,-0.163235,0.005147,-0.013106,0.023367,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_category;8:pop_category,False,,0.007277,0.004384,-0.006301,0.002994,5
phi_V500_EHIGH_z0.5_p0.5_s0,500,HIGH,0.5,0,0.5,0.5,False,-0.260060,-0.272155,-0.247822,-0.262312,-0.272902,-0.251333,0.003961,-0.017677,0.026147,false,0:pop_price;1:pop_price;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.003798,0.005476,-0.001512,0.005911,5
phi_V500_EHIGH_z0.5_p0.5_s1,500,HIGH,0.5,1,0.5,0.5,False,-0.170925,-0.181071,-0.161260,-0.170141,-0.178923,-0.160879,0.006911,-0.011040,0.025723,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_scaled_content,False,,0.003244,0.002280,-0.003652,0.004658,5
phi_V500_EHIGH_z0.5_p0.5_s2,500,HIGH,0.5,2,0.5,0.4187,True,-0.241559,-0.252748,-0.229731,-0.241565,-0.251967,-0.230471,,,,,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.020939,0.019975,-0.018029,0.007198,5
phi_V500_EHIGH_z0.5_p0_s0,500,HIGH,0.5,0,0.0,0.0,False,-0.265332,-0.277854,-0.253640,-0.266273,-0.277480,-0.255225,,,,,0:pop_price;1:pop_price;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.000000,0.000000,0.000000,0.000000,5
phi_V500_EHIGH_z0.5_p0_s1,500,HIGH,0.5,1,0.0,0.0,False,-0.177505,-0.187757,-0.167767,-0.177052,-0.186602,-0.167883,,,,,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:recency_pop_0.1,False,,0.000000,0.000000,0.000000,0.000000,5
phi_V500_EHIGH_z0.5_p1_s0,500,HIGH,0.5,0,1.0,0.9711,True,-0.252350,-0.265148,-0.240486,-0.254646,-0.265524,-0.243973,0.011627,-0.010299,0.033507,false,0:pop_price;1:pop_price;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.010421,0.019959,-0.008064,0.017749,5
phi_V500_EHIGH_z0.5_p1_s1,500,HIGH,0.5,1,1.0,0.9418,True,-0.170572,-0.180893,-0.160860,-0.168193,-0.177296,-0.159263,0.008859,-0.009413,0.027338,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_scaled_content,False,,0.013852,0.013063,-0.019936,0.016372,5
phi_V500_EHIGH_z1.5_p0.25_s0,500,HIGH,1.5,0,0.25,0.25,False,-0.076854,-0.086049,-0.068492,-0.093879,-0.101863,-0.086296,0.000576,-0.015304,0.016052,false,0:pop_price;1:pop_price;2:pop_price;3:pop_price;5:lambda_hybrid_0.5;8:recency_pop_0.1,False,,0.002914,0.001855,-0.000127,0.003014,5
phi_V500_EHIGH_z1.5_p0.25_s1,500,HIGH,1.5,1,0.25,0.25,False,-0.099098,-0.108938,-0.089520,-0.115617,-0.124300,-0.106913,0.006959,-0.010651,0.024850,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_price;8:recency_pop_0.1,False,,0.002981,0.002893,0.000016,0.000366,5
phi_V500_EHIGH_z1.5_p0.5_s0,500,HIGH,1.5,0,0.5,0.5,False,-0.076250,-0.085604,-0.067679,-0.090275,-0.098198,-0.082716,0.004179,-0.011638,0.019633,false,0:pop_global;1:pop_global;2:pop_global;3:lambda_hybrid_0.25;5:lambda_hybrid_0.25;8:recency_pop_0.1,False,,0.003621,0.002385,-0.000136,0.001834,5
phi_V500_EHIGH_z1.5_p0.5_s1,500,HIGH,1.5,1,0.5,0.5,False,-0.099229,-0.109104,-0.089389,-0.116287,-0.125635,-0.107519,0.006289,-0.011985,0.024244,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:lambda_hybrid_0.25;8:recency_pop_0.1,False,,0.005348,0.002981,0.000161,0.001510,5
phi_V500_EHIGH_z1.5_p0.5_s2,500,HIGH,1.5,2,0.5,0.5,False,-0.063914,-0.071778,-0.055783,-0.071383,-0.078589,-0.064409,,,,,0:pop_category;1:pop_price;2:pop_price;3:pop_price;5:recency_pop_0.5;8:recency_pop_0.1,False,,0.004556,0.002979,-0.000110,0.001668,5
phi_V500_EHIGH_z1.5_p0_s0,500,HIGH,1.5,0,0.0,0.0,False,-0.076412,-0.085341,-0.068341,-0.094455,-0.102348,-0.086559,,,,,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:recency_pop_0.1,False,,0.000000,0.000000,0.000000,0.000000,5
phi_V500_EHIGH_z1.5_p0_s1,500,HIGH,1.5,1,0.0,0.0,False,-0.106051,-0.115855,-0.096698,-0.122576,-0.131764,-0.113650,,,,,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:lambda_hybrid_0.25;8:recency_pop_0.1,False,,0.000000,0.000000,0.000000,0.000000,5
phi_V500_EHIGH_z1.5_p1_s0,500,HIGH,1.5,0,1.0,1.0,False,-0.067238,-0.076028,-0.058447,-0.074260,-0.081704,-0.067057,0.020195,0.004855,0.035291,true,0:pop_global;1:pop_scaled_content;2:pop_global;3:lambda_hybrid_0.5;5:lambda_hybrid_0.25;8:recency_pop_0.1,False,,0.008832,0.005829,-0.000562,0.005796,5
phi_V500_EHIGH_z1.5_p1_s1,500,HIGH,1.5,1,1.0,1.0,False,-0.089983,-0.099694,-0.080827,-0.098121,-0.106260,-0.089395,0.024455,0.007390,0.042369,true,0:pop_price;1:pop_global;2:lambda_hybrid_0.25;3:pop_global;5:pop_category;8:recency_pop_0.1,False,,0.012099,0.004208,-0.000119,0.001448,5
phi_V500_ELOW_z0.5_p0.25_s0,500,LOW,0.5,0,0.25,0.25,False,-0.227360,-0.239164,-0.214129,-0.226961,-0.237483,-0.215977,-0.001848,-0.023193,0.019707,false,0:pop_global;1:pop_category;2:pop_category;3:pop_category;5:pop_scaled_content;8:pop_price,False,,0.003886,0.004063,-0.002990,0.001922,5
phi_V500_ELOW_z0.5_p0.25_s1,500,LOW,0.5,1,0.25,0.25,False,-0.178390,-0.188506,-0.168105,-0.175572,-0.184393,-0.166621,-0.001169,-0.018819,0.017444,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.005699,0.008241,-0.010513,0.003687,5
phi_V500_ELOW_z0.5_p0.5_s0,500,LOW,0.5,0,0.5,0.5,False,-0.217483,-0.229109,-0.205077,-0.217825,-0.228234,-0.208185,0.007288,-0.013944,0.027499,false,0:pop_global;1:pop_global;2:pop_global;3:pop_scaled_content;5:pop_scaled_content;8:pop_scaled_content,False,,0.007860,0.015102,-0.013857,0.008987,5
phi_V500_ELOW_z0.5_p0.5_s1,500,LOW,0.5,1,0.5,0.3713,True,-0.182784,-0.193356,-0.171388,-0.180247,-0.188959,-0.171465,-0.005844,-0.023386,0.012600,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.010784,0.014466,-0.019958,0.011455,5
phi_V500_ELOW_z0.5_p0.5_s2,500,LOW,0.5,2,0.5,0.5,False,-0.256049,-0.268866,-0.243393,-0.256988,-0.266976,-0.246149,,,,,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.016471,0.012704,-0.009508,0.008576,5
phi_V500_ELOW_z0.5_p0_s0,500,LOW,0.5,0,0.0,0.0,False,-0.225577,-0.237579,-0.213454,-0.225113,-0.235684,-0.214290,,,,,0:pop_global;1:pop_global;2:pop_global;3:pop_scaled_content;5:pop_scaled_content;8:pop_global,False,,0.000000,0.000000,0.000000,0.000000,5
phi_V500_ELOW_z0.5_p0_s1,500,LOW,0.5,1,0.0,0.0,False,-0.176841,-0.187449,-0.166311,-0.174403,-0.184065,-0.165574,,,,,0:pop_global;1:pop_global;2:pop_category;3:pop_category;5:pop_global;8:pop_global,False,,0.000000,0.000000,0.000000,0.000000,5
phi_V500_ELOW_z0.5_p1_s0,500,LOW,0.5,0,1.0,0.5783,True,-0.225538,-0.238287,-0.212495,-0.224895,-0.235703,-0.214393,0.000218,-0.021413,0.021291,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_scaled_content;8:pop_price,False,,0.013336,0.018458,-0.019967,0.014668,5
phi_V500_ELOW_z0.5_p1_s1,500,LOW,0.5,1,1.0,0.3713,True,-0.182784,-0.193356,-0.171388,-0.180247,-0.188959,-0.171465,-0.005844,-0.023386,0.012600,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.010784,0.014466,-0.019958,0.011455,5
phi_V500_ELOW_z1.5_p0.25_s0,500,LOW,1.5,0,0.25,0.25,False,-0.122342,-0.132993,-0.111968,-0.127115,-0.136978,-0.117511,0.000489,-0.018310,0.019866,false,0:pop_price;1:pop_global;2:pop_global;3:pop_global;5:pop_scaled_content;8:pop_category,False,,0.002914,0.002738,-0.000660,0.003043,5
phi_V500_ELOW_z1.5_p0.25_s1,500,LOW,1.5,1,0.25,0.25,False,-0.116530,-0.126972,-0.107186,-0.123583,-0.132163,-0.115262,-0.003095,-0.020710,0.014129,false,0:pop_global;1:pop_global;2:pop_global;3:lambda_hybrid_0.25;5:lambda_hybrid_0.25;8:recency_pop_0.1,False,,0.002455,0.002104,-0.000009,-0.001145,5
phi_V500_ELOW_z1.5_p0.5_s0,500,LOW,1.5,0,0.5,0.5,False,-0.127192,-0.138219,-0.116477,-0.127884,-0.137713,-0.118842,-0.000281,-0.019045,0.018535,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_price;8:pop_scaled_content,False,,0.005299,0.006800,-0.001735,0.003406,5
phi_V500_ELOW_z1.5_p0.5_s1,500,LOW,1.5,1,0.5,0.5,False,-0.112761,-0.122743,-0.103627,-0.114642,-0.123050,-0.106388,0.005846,-0.011597,0.023003,false,0:pop_global;1:pop_price;2:pop_scaled_content;3:pop_global;5:lambda_hybrid_0.25;8:recency_pop_0.1,False,,0.004208,0.004471,-0.000163,0.000901,5
phi_V500_ELOW_z1.5_p0.5_s2,500,LOW,1.5,2,0.5,0.5,False,-0.074403,-0.083834,-0.065328,-0.077588,-0.084692,-0.070255,,,,,0:active_elic2;1:pop_scaled_content;2:pop_scaled_content;3:lambda_hybrid_0.5;5:lambda_hybrid_0.5;8:recency_pop_0.1,False,,0.005520,0.003329,0.000130,-0.001641,5
phi_V500_ELOW_z1.5_p0_s0,500,LOW,1.5,0,0.0,0.0,False,-0.126100,-0.137146,-0.115640,-0.127604,-0.137377,-0.118669,,,,,0:pop_global;1:pop_global;2:lambda_hybrid_0.25;3:pop_category;5:pop_scaled_content;8:pop_scaled_content,False,,0.000000,0.000000,0.000000,0.000000,5
phi_V500_ELOW_z1.5_p0_s1,500,LOW,1.5,1,0.0,0.0,False,-0.117525,-0.127936,-0.108145,-0.120488,-0.129392,-0.111452,,,,,0:pop_category;1:pop_category;2:lambda_hybrid_0.25;3:pop_category;5:lambda_hybrid_0.25;8:recency_pop_0.1,False,,0.000000,0.000000,0.000000,0.000000,5
phi_V500_ELOW_z1.5_p1_s0,500,LOW,1.5,0,1.0,1.0,False,-0.108552,-0.119102,-0.098181,-0.111517,-0.120787,-0.102098,0.016087,-0.002118,0.035280,false,0:pop_price;1:pop_price;2:lambda_hybrid_0.25;3:pop_scaled_content;5:lambda_hybrid_0.25;8:lambda_hybrid_0.25,False,,0.015632,0.015809,-0.003907,0.010929,5
phi_V500_ELOW_z1.5_p1_s1,500,LOW,1.5,1,1.0,1.0,False,-0.097420,-0.107239,-0.087687,-0.100602,-0.108797,-0.092657,0.019886,0.002656,0.036735,true,0:pop_price;1:lambda_hybrid_0.25;2:lambda_hybrid_0.25;3:lambda_hybrid_0.25;5:lambda_hybrid_0.25;8:recency_pop_0.1,False,,0.007277,0.004208,-0.000978,0.006677,5
